Collector,Gross area [m^2],Absorber area [m^2],min. Flowrate [l/h],nom. flowrate [l/h],max. Flowrate [l/h],c0 (gross),c1 (gross),c2 (gross),Cost,Cost per gross area,Cost Year,Cost Ref.,Datasheet,,,,,,IAM transversal,0,10,20,30,40,50,60,70,80,90,,IAM longitudinal,0,10,20,30,40,50,60,70,80,90
Sunpur 10HP / Sun5HP (Orange Energy),1.73,/,/,/,/,0.42,0.39,0.0050,797€ including tax,460.6936416,2016,https://www.sunwindenergy.com/system/files/swe_0516_014-021_solar_thermal_market_overview_collectors.pdf,http://www.duurzaamloket.nl/DBF/PDF_Downloads/DS_2021.pdf,https://www.heizungslabel.de/sites/default/files/data/augusta-solar/files_public/15_09_26_Datenblatt_DF.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AS 100 DF 6 (Augusta Solar, Germany)",1.51,/,/,75,/,0.55,1.03,0.0052,878€ including tax,581.4569536,2016,https://www.sunwindenergy.com/system/files/swe_0516_014-021_solar_thermal_market_overview_collectors.pdf,http://augusta-solar.com/wp-content/uploads/2015/01/DF_SB_4seiter_eng_web.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurotherm-Solar PRO 20R,3.1,1.87,/,120,/,0.44,1.01,0.0104,559€ including tax,180.3225806,2020,https://www.solardirekt24.de/eurotherm-solar-pro-vakuumroehrenkollektor-20r-3-1-qm?c=2189,https://www.solardirekt24.de/media/pdf/c5/7f/d2/vakuumrohrenkollektor_eurotherm_solar_pro_frauenhofer_ise_leistungsnachweis.pdf,,,,,,,1,1.01,1.03,1.11,1.25,1.39,1.25,1.08,,0,,,1,1,1,0.99,0.97,0.93,0.85,0.71,,0
Eurotherm-Solar 20R,3.1,1.88,/,120,/,0.39,0.88,0.0120,420€ including tax,135.483871,2020,https://www.solardirekt24.de/eurotherm-solar-vakuumroehrenkollektor-20r-roehren-3-1-qm?c=2189,https://www.solardirekt24.de/media/pdf/87/94/11/vakuumrohrenkollektor_eurotherm_solar_fraunhofer_ise_leistungsnachweis.pdf,,,,,,,1,1.01,1.06,1.15,1.29,1.43,1.49,1.35,0,0,,,1,1,1,0.99,0.96,0.82,0.84,0.69,0.44,0
Eurotherm-Solar CPC 16R,3.43,2.91,/,/,/,0.54,1.21,0.0040,549€ including tax,160.058309,2020,https://www.solardirekt24.de/eurotherm-solar-cpc-vakuumroehrenkollektor-16r-3-43-qm?c=2189,https://www.solardirekt24.de/media/pdf/84/5d/00/vakuumrohrenkollektor_eurotherm_solar_pro_cpc_leistungsnachweis.pdf,,,,,,,1,1.02,1.03,1.04,1.05,1.12,1.18,0.79,0.39,0,,,1,1,0.99,0.99,0.97,0.95,0.91,0.83,0.57,0
Solarbayer CPC 14 Nero Brutto,3.26,2.84,/,200,/,0.63,0.93,0.0040,1287€ including tax,394.7852761,2020,https://www.haustechnikonline.de/Solarbayer-Vakuum-Roehrenkollektor-CPC-18-Nero-Brutto-m2-326-400101801,http://www.duurzaamloket.nl/DBF/PDF_Downloads/DS_1313.pdf,,,,,,,1,1.02,0.99,1,1.01,1.09,1.1,1.29,0.65,0,,,1,1,0.99,0.97,0.95,0.89,0.8,0.64,0.32,0
Sunex HP 22,3.61,/,/,54,/,0.43,1.24,0.0040,664€ including tax,183.933518,2020,https://www.wolf-online-shop.de/SUNEX-Vakuum-Roehrenkollektor-Heat-Pipe-Typ-HP-22-Sunex-mit-22-Roehren::102863.html,http://www.duurzaamloket.nl/DBF/PDF_Downloads/DS_1863.pdf,,,,,,,1,1.03,1.02,1.08,1.16,1.25,1.22,1.16,,0,,,1,1,0.99,0.99,0.97,0.95,0.9,0.92,,0
"Sunex PR 2,09",2.05,1.1,/,60,/,0.45,/,/,702€ including tax,342.4390244,2020,https://www.wolf-online-shop.de/SUNEX-Vakuum-Roehrenkollektor-Typ-PR-2-09Sunex-mit-12-Roehren::103023.html,https://www.weinmann-schanz.de/xs_db/xs_dokumente/www/Gesamt/www_Datenblaetter_online/97/97_011_75--DBL-02-de.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logasol SKR10 CPC (Buderus, Germany)",1.22,/,/,/,/,0.53,0.63,0.0096,494€ (904€) including tax,740.9836066,2020,https://www.heizungsdiscount24.de/solartechnik/buderus-logasol-vakuumroehrenkollektor-skr10-cpc-122-m.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Germanstar HP 70/16 (Eurosun, Germany)",2.78,2,100,200,300,0.60,1.17,0.0040,1701€ including tax,611.8705036,2016,https://www.sunwindenergy.com/system/files/swe_0516_014-021_solar_thermal_market_overview_collectors.pdf,http://www.duurzaamloket.nl/DBF/PDF_Downloads/DS_1069.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEAN,2.775259259,1.876863636,77.82352941,123.7391304,232.0588235,0.4906945674,1.075591267,0.004223480543,,,,,,,,,,,,1,1.001875,1.034375,1.08875,1.156875,1.20125,1.13625,0.903125,0.505625,0,,,1,1,1,0.99375,0.97625,0.9375,0.863125,0.729375,0.48,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deviations from mean,,,,,,,,Sum of absolute deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMT VHP,0.1831393797,0.355307452,0.768707483,0.7575544624,0.7845373891,0.1889048169,0.1714487083,0.6685198414,3.878119533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FK Solinas 3 plus kurz,0.6003976939,0.7250732605,0.768707483,0.7575544624,0.7845373891,0.3071046174,0.3666901597,0.100268141,4.410333207,,,,,I put this link here since it will be helpful for costs. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
FK Solinas 3 plus,0.1831393797,0.355307452,0.768707483,0.7575544624,0.7845373891,0.1970565273,0.3295013119,0.8816142291,4.257418234,,,,,https://www.sunwindenergy.com/system/files/swe_0516_014-021_solar_thermal_market_overview_collectors.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
FK Solinas 3,0.1831393797,0.355307452,0.768707483,0.7575544624,0.7845373891,0.1889048169,0.1993403443,0.6685198414,3.906011169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enersol HP 70-24/Wikosun HP 70-24/Zewotherm ZX 70-24/Sunstar 2470/Germanstar HP 70/24,0.4942748092,0.6080017437,0.2849584278,0.616303584,0.2927756654,0.2390599782,0.0598821647,0.7158741498,3.311130523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enersol HP 70-8/Wikosun HP 70-8/Zewotherm ZX 70-8/Sunstar 0870/Germanstar HP 70/8,0.4937409918,0.4639994188,0.2849584278,0.616303584,0.2927756654,0.2227565575,0.08777380061,0.05291383263,2.515222278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS 100 HP8,0.2670954999,0.2903053934,0.03628117914,0.01018973999,0.2458808619,0.08825333615,0.2190341944,0.07659098682,1.233631192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HV12,0.2173704158,0.07573078879,0.9229024943,0.4181307098,2.102661597,0.1025188293,0.1353592867,0.2186539119,4.193328034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurosun DF120-6,0.1463860567,0.1469811823,0.2849584278,0.03021784961,0.1381495564,0.1656945848,0.3027091022,0.02923667845,1.244333438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zewotherm ZX 30,0.557331981,0.3218861253,0.156462585,0.9395643008,0.7237008872,0.1562979753,0.5258421895,1.699195577,5.080281621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zewotherm ZX 20,0.05179362622,0.1187425831,0.2290249433,0.2930428672,0.0773130545,0.1359186994,0.2272319802,0.2186539119,1.351721666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olymp sunstar 500,0.6621870496,0.6037393137,0.9274376417,0.4546732256,0.03422053232,0.1086326121,0.1249626485,0.8816142291,3.797467253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olymp sunstar 300,0.106563284,0.06933714369,0.2849584278,0.03021784961,0.3105196451,0.1086326121,0.0598821647,0.5027797621,1.472890889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atmosfera CBK-A-58-30,0.7832568195,0.2792618246,0.5419501134,0.4546732256,0.2927756654,0.2398530068,0.1342598605,0.2075348634,2.933565379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wikosun DF 65 - 30,0.6621870496,0.6048049212,0.9274376417,0.4546732256,0.03422053232,0.1045567569,0.1249626485,0.6921969956,3.605039771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wikosun DF 65 - 10,0.4458175412,0.4650650263,0.2849584278,0.03021784961,0.3105196451,0.1249360329,0.4038790076,0.9763228458,3.041716376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
