,Ambient temperature / degC,Battery storage profile / kWh,Collector system input temperature / degC,Collector system output temperature / degC,Dumped electricity / kWh,Electricity demand / kWh,Electricity demand met through the grid / kWh,Electricity demand met through solar collectors / kWh,Electricity demand met through storage / kWh,Hot-water demand temperature / degC,Hot-water demand volume / kg/s,PV-T collector output temperature / degC,Renewable heating fraction,Solar-thermal collector output temperature / degC,Tank temperature / degC,Undegraded PV electric efficiencies,Degraded PV electric efficiencies,Undegraded PV electric output power / kW,Degraded PV electric output power / kW,Undegraded Total PV electric power produced / kW,Degraded Total PV electric power produced / kW,Undegraded PV-T electric efficiencies,Degraded PV-T electric efficiencies,Undegraded PV-T electric output power / kW,Degraded PV-T electric output power / kW,Undegraded Total PV-T electric power produced / kW,Degraded Total PV-T electric power produced / kW,PV-T output temperature / degC,PV-T reduced temperature / degC/W/m^2,PV-T thermal efficiency,Solar-thermal output temperature / degC,Solar-thermal reduced temperature / degC/W/m^2,Solar-thermal thermal efficiency,Solar irradiance / W/m^2
-1,,9.000528153614752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19.589999999999975,9.000528153614752,19.75396182363778,19.674211719386278,0.0,30.0,30.0,0.0,0.0,,0.0,19.67997918029033,,19.674211719386278,19.75396182363778,0.17322763680000003,0.15133996585589843,,,0.0,0.0,,,0.0,0.0,0.0,0.0,19.67997918029033,,,19.674211719386278,,,0.0
1,19.720000000000027,9.000528153614752,19.729693444338864,19.71999999999997,0.0,30.0,30.0,0.0,0.0,,0.0,19.720000000000084,,19.71999999999997,19.729693444338864,0.17313085439999998,0.15125541211273116,,,0.0,0.0,,,0.0,0.0,0.0,0.0,19.720000000000084,,,19.71999999999997,,,0.0
2,19.850000000000023,9.000528153614752,19.815661888085344,19.850000000000193,0.0,30.0,30.0,0.0,0.0,,0.0,19.850000000000023,,19.850000000000193,19.815661888085344,0.17303407199999998,0.15117085836956395,,,0.0,0.0,,,0.0,0.0,0.0,0.0,19.850000000000023,,,19.850000000000193,,,0.0
3,24.120000000000005,9.000528153614752,21.50067013434989,22.089703570114125,0.0,30.0,30.0,0.0,0.0,,0.0,21.951463395696408,,22.089703570114125,21.50067013434989,0.16985514239999996,0.1483935931132252,,,0.0,0.0,,,0.0,0.0,0.0,0.0,21.951463395696408,,,22.089703570114125,,,0.0
4,24.189999999999998,9.000528153614752,22.589897411703134,22.974679815720435,0.0,30.0,30.0,0.0,0.0,,0.0,22.891743452492676,,22.974679815720435,22.589897411703134,0.16980302879999998,0.1483480641745967,,,0.0,0.0,,,0.0,0.0,0.0,0.0,22.891743452492676,,,22.974679815720435,,,0.0
5,24.269999999999982,9.000528153614752,23.312098589321977,23.571671603997572,0.0,30.0,30.0,0.0,0.0,,0.0,23.52394788089498,,23.571671603997572,23.312098589321977,0.16974347039999998,0.14829603110187842,,,0.0,0.0,,,0.0,0.0,0.0,0.0,23.52394788089498,,,23.571671603997572,,,0.0
6,24.339999999999975,9.000528153614752,23.800902586285645,23.981302844902018,0.0,30.0,30.0,0.0,0.0,,0.0,23.956766512146828,,23.981302844902018,23.800902586285645,0.1696913568,0.14825050216324992,,,0.0,0.0,,,0.0,0.0,0.0,0.0,23.956766512146828,,,23.981302844902018,,,0.0
7,23.939999999999998,15.402903520276746,25.287435042617517,25.964980434858205,219.1008885282372,30.0,0.0,30.0,0.0,,0.0,25.63738740480062,,25.964980434858205,25.287435042617517,0.1699891488,0.14851066752684136,0.009296909490000001,0.008122225707012463,278.90728470000005,243.66677121037387,0.17772163911913905,0.15526614166767183,0.011759082049020562,0.010273297660061825,13.934512228089366,12.173857727173262,25.63738740480062,0.04440998161941595,0.43442830991589254,25.964980434858205,0.05531007191172194,0.5322573398872538,33.65
8,23.529999999999973,9.000528153614752,30.14232423187451,30.3311900670584,0.0,491.06596775267144,67.34853731125686,417.6351738430857,6.082256598328895,80.0,4.3,30.04329768047552,0.11709446134008385,30.3311900670584,30.14232423187451,0.17029438560000001,0.14877733702452262,0.015189615056000005,0.013270375711430827,455.6884516800001,398.1112713429248,0.17476307762658183,0.15268140055166196,0.018858703342985304,0.01647586708874339,22.347563461437584,19.52390250016091,30.04329768047552,0.11882975559824818,-0.01060193847752422,30.3311900670584,0.12130546417213948,0.2868059467317218,54.88
