,Ambient temperature / degC,Battery storage profile / kWh,Collector system input temperature / degC,Collector system output temperature / degC,Dumped electricity / kWh,Electricity demand / kWh,Electricity demand met through the grid / kWh,Electricity demand met through solar collectors / kWh,Electricity demand met through storage / kWh,Hot-water demand temperature / degC,Hot-water demand volume / kg/s,PV-T collector output temperature / degC,Renewable heating fraction,Solar-thermal collector output temperature / degC,Tank temperature / degC,Undegraded PV electric efficiencies,Degraded PV electric efficiencies,Undegraded PV electric output power / kW,Degraded PV electric output power / kW,Undegraded Total PV electric power produced / kW,Degraded Total PV electric power produced / kW,Undegraded PV-T electric efficiencies,Degraded PV-T electric efficiencies,Undegraded PV-T electric output power / kW,Degraded PV-T electric output power / kW,Undegraded Total PV-T electric power produced / kW,Degraded Total PV-T electric power produced / kW,PV-T output temperature / degC,PV-T reduced temperature / degC/W/m^2,PV-T thermal efficiency,Solar-thermal output temperature / degC,Solar-thermal reduced temperature / degC/W/m^2,Solar-thermal thermal efficiency,Solar irradiance / W/m^2
-1,,8.939578623223756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27.6193999543691,8.939578623223756,28.9464928525515,28.627043979166842,0.0,30.0,30.0,0.0,0.0,,0.0,28.696230789328638,,28.627043979166842,28.9464928525515,0.16724990912197127,0.14611753645952436,,,0.0,0.0,,,0.0,0.0,0.0,0.0,28.696230789328638,,,28.627043979166842,,,0.0
1,27.42959616700898,8.939578623223756,28.294297639589047,28.059871158769738,0.0,30.0,30.0,0.0,0.0,,0.0,28.103102166951373,,28.059871158769738,28.294297639589047,0.16739121424558515,0.1462409873878983,,,0.0,0.0,,,0.0,0.0,0.0,0.0,28.103102166951373,,,28.059871158769738,,,0.0
2,27.282635181382602,8.939578623223756,27.81317851473665,27.635611082076423,0.0,30.0,30.0,0.0,0.0,,0.0,27.659803471441933,,27.635611082076423,27.81317851473665,0.16750062376016425,0.1463365727835464,,,0.0,0.0,,,0.0,0.0,0.0,0.0,27.659803471441933,,,27.635611082076423,,,0.0
3,27.134145562400192,8.939578623223756,27.490253013845233,27.371070734955367,0.0,30.0,30.0,0.0,0.0,,0.0,27.387304007550085,,27.371070734955367,27.490253013845233,0.1676111713117043,0.14643315242282673,,,0.0,0.0,,,0.0,0.0,0.0,0.0,27.387304007550085,,,27.371070734955367,,,0.0
4,26.98446497832532,8.939578623223756,27.20718710816749,27.098855927821432,0.0,30.0,30.0,0.0,0.0,,0.0,27.106690944226102,,27.098855927821432,27.20718710816749,0.16772260551293636,0.14653050668177275,,,0.0,0.0,,,0.0,0.0,0.0,0.0,27.106690944226102,,,27.098855927821432,,,0.0
5,26.913730321697358,8.939578623223756,27.04295345664508,26.980100189806308,0.0,30.0,30.0,0.0,0.0,,0.0,26.9846454811277,,26.980100189806308,27.04295345664508,0.16777526605010273,0.14657651345092307,,,0.0,0.0,,,0.0,0.0,0.0,0.0,26.9846454811277,,,26.980100189806308,,,0.0
6,26.84286789869941,8.939578623223756,27.023500520394748,27.023191445024054,0.0,30.0,7.927310587293629,22.07268941270637,0.0,,0.0,26.994760506581088,,27.023191445024054,27.023500520394748,0.16782802170677627,0.1466226033210337,0.0008018159803984751,0.0007005048694182666,24.05447941195425,21.015146082547997,0.17673291066257918,0.154402341100853,0.0010215117564557174,0.0008924416288256325,1.2104914314000252,1.0575433301583745,26.994760506581088,0.045751360480039395,0.42640686432936437,27.023191445024054,0.05650837956211874,0.5287926043434986,2.9395300022815336
7,26.769879078256906,16.561918170011456,29.92919029602001,31.276253927974437,481.41456679870043,30.0,0.0,30.0,0.0,,0.0,30.627903959425453,,31.276253927974437,29.92919029602001,0.1678823604238193,0.14667007622855502,0.01888020642973378,0.016494653215913545,566.4061928920135,494.8395964774064,0.1746397774122083,0.15257367957492854,0.023760772040893913,0.020758549246563816,28.156514868459286,24.59888085717812,30.627903959425453,0.05020531809682072,0.39977219778101203,31.276253927974437,0.060441529689406345,0.5122856989640417,69.19414328085792
8,27.273016198950472,16.561918170011456,40.81633059076722,46.11269537684967,1648.6372783865818,414.74354127761546,0.0,414.74354127761546,0.0,80.0,4.3,43.62781816060192,0.256857370088125,46.11269537684967,40.81633059076722,0.16750778490020535,0.14634282909870103,0.07514671870806987,0.06565177504899204,2254.4015612420962,1969.5532514697613,0.16698917351369813,0.14588974533576138,0.09063147506039233,0.07918000034224032,107.39829794656491,93.82830040555478,43.62781816060192,0.054017274331959936,0.3769766994948795,46.11269537684967,0.06375318411073475,0.4921917361201217,276.0213597992241
